x-axis,1
second,Volt
-578.24000E-06,
-578.21500E-06,+22.05772884E-03
-578.19000E-06,+22.05772884E-03
-578.16500E-06,+25.57237330E-03
-578.14000E-06,+26.99496748E-03
-578.11500E-06,+25.40500928E-03
-578.09000E-06,+23.64768705E-03
-578.06500E-06,+25.57237330E-03
-578.04000E-06,+23.48032303E-03
-578.01500E-06,+20.46777064E-03
-577.99000E-06,+23.81505107E-03
-577.96500E-06,+25.40500928E-03
-577.94000E-06,+27.16233151E-03
-577.91500E-06,+26.99496748E-03
-577.89000E-06,+28.91965373E-03
-577.86500E-06,+26.82760346E-03
-577.84000E-06,+23.81505107E-03
-577.81500E-06,+25.40500928E-03
-577.79000E-06,+25.40500928E-03
-577.76500E-06,+23.64768705E-03
-577.74000E-06,+22.05772884E-03
-577.71500E-06,+25.57237330E-03
-577.69000E-06,+28.75228971E-03
-577.66500E-06,+26.99496748E-03
-577.64000E-06,+25.40500928E-03
-577.61500E-06,+25.40500928E-03
-577.59000E-06,+25.40500928E-03
-577.56500E-06,+25.40500928E-03
-577.54000E-06,+25.40500928E-03
-577.51500E-06,+25.40500928E-03
-577.49000E-06,+23.64768705E-03
-577.46500E-06,+23.81505107E-03
-577.44000E-06,+27.16233151E-03
-577.41500E-06,+26.99496748E-03
-577.39000E-06,+21.89036482E-03
-577.36500E-06,+23.98241509E-03
-577.34000E-06,+26.99496748E-03
-577.31500E-06,+23.64768705E-03
-577.29000E-06,+25.57237330E-03
-577.26500E-06,+28.75228971E-03
-577.24000E-06,+28.75228971E-03
-577.21500E-06,+25.23764526E-03
-577.19000E-06,+23.81505107E-03
-577.16500E-06,+23.64768705E-03
-577.14000E-06,+22.05772884E-03
-577.11500E-06,+22.05772884E-03
-577.09000E-06,+22.05772884E-03
-577.06500E-06,+22.05772884E-03
-577.04000E-06,+23.81505107E-03
-577.01500E-06,+23.64768705E-03
-576.99000E-06,+23.81505107E-03
-576.96500E-06,+25.40500928E-03
-576.94000E-06,+25.40500928E-03
-576.91500E-06,+23.64768705E-03
-576.89000E-06,+25.57237330E-03
-576.86500E-06,+26.99496748E-03
-576.84000E-06,+25.40500928E-03
-576.81500E-06,+23.64768705E-03
-576.79000E-06,+25.57237330E-03
-576.76500E-06,+28.75228971E-03
-576.74000E-06,+25.23764526E-03
-576.71500E-06,+25.57237330E-03
-576.69000E-06,+25.23764526E-03
-576.66500E-06,+22.05772884E-03
-576.64000E-06,+22.05772884E-03
-576.61500E-06,+23.81505107E-03
-576.59000E-06,+23.64768705E-03
-576.56500E-06,+22.05772884E-03
-576.54000E-06,+23.81505107E-03
-576.51500E-06,+23.64768705E-03
-576.49000E-06,+23.81505107E-03
-576.46500E-06,+25.40500928E-03
-576.44000E-06,+27.16233151E-03
-576.41500E-06,+25.23764526E-03
-576.39000E-06,+23.81505107E-03
-576.36500E-06,+25.40500928E-03
-576.34000E-06,+21.89036482E-03
-576.31500E-06,+22.22509286E-03
-576.29000E-06,+25.40500928E-03
-576.26500E-06,+27.16233151E-03
-576.24000E-06,+28.75228971E-03
-576.21500E-06,+25.23764526E-03
-576.19000E-06,+25.57237330E-03
-576.16500E-06,+25.23764526E-03
-576.14000E-06,+23.81505107E-03
-576.11500E-06,+27.16233151E-03
-576.09000E-06,+26.99496748E-03
-576.06500E-06,+27.16233151E-03
-576.04000E-06,+26.99496748E-03
-576.01500E-06,+25.40500928E-03
-575.99000E-06,+25.40500928E-03
-575.96500E-06,+25.40500928E-03
-575.94000E-06,+27.16233151E-03
-575.91500E-06,+26.99496748E-03
-575.89000E-06,+25.40500928E-03
-575.86500E-06,+23.64768705E-03
-575.84000E-06,+25.57237330E-03
-575.81500E-06,+26.99496748E-03
-575.79000E-06,+23.64768705E-03
-575.76500E-06,+22.05772884E-03
-575.74000E-06,+23.81505107E-03
-575.71500E-06,+23.64768705E-03
-575.69000E-06,+22.05772884E-03
-575.66500E-06,+25.57237330E-03
-575.64000E-06,+28.75228971E-03
-575.61500E-06,+26.99496748E-03
-575.59000E-06,+23.64768705E-03
-575.56500E-06,+22.05772884E-03
-575.54000E-06,+23.81505107E-03
-575.51500E-06,+23.64768705E-03
-575.49000E-06,+22.05772884E-03
-575.46500E-06,+22.05772884E-03
-575.44000E-06,+22.05772884E-03
-575.41500E-06,+22.05772884E-03
-575.39000E-06,+25.57237330E-03
-575.36500E-06,+25.23764526E-03
-575.34000E-06,+22.05772884E-03
-575.31500E-06,+23.81505107E-03
-575.29000E-06,+23.64768705E-03
-575.26500E-06,+23.81505107E-03
-575.24000E-06,+27.16233151E-03
-575.21500E-06,+26.99496748E-03
-575.19000E-06,+23.64768705E-03
-575.16500E-06,+23.81505107E-03
-575.14000E-06,+25.40500928E-03
-575.11500E-06,+25.40500928E-03
-575.09000E-06,+27.16233151E-03
-575.06500E-06,+26.99496748E-03
-575.04000E-06,+25.40500928E-03
-575.01500E-06,+25.40500928E-03
-574.99000E-06,+23.64768705E-03
-574.96500E-06,+23.81505107E-03
-574.94000E-06,+23.64768705E-03
-574.91500E-06,+23.81505107E-03
-574.89000E-06,+27.16233150E-03
-574.86500E-06,+25.23764526E-03
-574.84000E-06,+22.05772884E-03
-574.81500E-06,+23.81505107E-03
-574.79000E-06,+23.64768705E-03
-574.76500E-06,+23.81505107E-03
-574.74000E-06,+21.89036482E-03
-574.71500E-06,+20.46777063E-03
-574.69000E-06,+23.81505107E-03
-574.66500E-06,+25.40500928E-03
-574.64000E-06,+25.40500928E-03
-574.61500E-06,+25.40500928E-03
-574.59000E-06,+23.64768705E-03
-574.56500E-06,+22.05772884E-03
-574.54000E-06,+25.57237330E-03
-574.51500E-06,+28.75228971E-03
-574.49000E-06,+26.99496748E-03
-574.46500E-06,+23.64768705E-03
-574.44000E-06,+22.05772884E-03
-574.41500E-06,+22.05772884E-03
-574.39000E-06,+22.05772884E-03
-574.36500E-06,+23.81505107E-03
-574.34000E-06,+25.40500928E-03
-574.31500E-06,+23.64768705E-03
-574.29000E-06,+25.57237330E-03
-574.26500E-06,+25.23764526E-03
-574.24000E-06,+23.81505107E-03
-574.21500E-06,+27.16233150E-03
-574.19000E-06,+25.23764526E-03
-574.16500E-06,+23.81505107E-03
-574.14000E-06,+23.64768705E-03
-574.11500E-06,+22.05772884E-03
-574.09000E-06,+22.05772884E-03
-574.06500E-06,+23.81505107E-03
-574.04000E-06,+25.40500928E-03
-574.01500E-06,+27.16233150E-03
-573.99000E-06,+26.99496748E-03
